task,level,pairs,overlap_rate,inits_with_any_clear_B,inits_with_no_clear_B,min_clear_Bs_per_init,median_clear_Bs_per_init,max_clear_Bs_per_init,best_single_demo,best_single_demo_clear_inits,demos_clear_for_every_init
0,I,2500,0.7916,45,5,0,4.0,35,46,44,0
0,II,2500,0.9088,30,20,0,3.0,13,46,30,0
1,I,2500,0.482,50,0,2,29.0,49,8,50,2
1,II,2500,0.8488,50,0,3,4.0,18,8,50,3
2,I,2500,0.312,49,1,0,40.0,50,2,49,0
2,II,2500,0.0012,50,0,49,50.0,50,0,50,49
3,I,2500,0.6544,50,0,3,17.0,50,6,44,0
3,II,2500,0.0088,50,0,47,50.0,50,0,50,47
